,4. close
2015-02-17,127.83
2015-02-18,128.715
2015-02-19,128.45
2015-02-20,129.495
2015-02-23,133.0
2015-02-24,132.17
2015-02-25,128.79
2015-02-26,130.415
2015-02-27,128.46
2015-03-02,129.09
2015-03-03,129.36
2015-03-04,128.54
2015-03-05,126.41
2015-03-06,126.6
2015-03-09,127.14
2015-03-10,124.51
2015-03-11,122.24
2015-03-12,124.45
2015-03-13,123.59
2015-03-16,124.95
2015-03-17,127.04
2015-03-18,128.47
2015-03-19,127.495
2015-03-20,125.9
2015-03-23,127.21
2015-03-24,126.69
2015-03-25,123.38
2015-03-26,124.24
2015-03-27,123.25
2015-03-30,126.37
2015-03-31,124.43
2015-04-01,124.25
2015-04-02,125.32
2015-04-06,127.35
2015-04-07,126.01
2015-04-08,125.6
2015-04-09,126.56
2015-04-10,127.1
2015-04-13,126.85
2015-04-14,126.3
2015-04-15,126.78
2015-04-16,126.17
2015-04-17,124.75
2015-04-20,127.6
2015-04-21,126.91
2015-04-22,128.62
2015-04-23,129.67
2015-04-24,130.28
2015-04-27,132.65
2015-04-28,130.56
2015-04-29,128.64
2015-04-30,125.15
2015-05-01,128.95
2015-05-04,128.7
2015-05-05,125.8
2015-05-06,125.01
2015-05-07,125.26
2015-05-08,127.62
2015-05-11,126.32
2015-05-12,125.865
2015-05-13,126.01
2015-05-14,128.95
2015-05-15,128.77
2015-05-18,130.19
2015-05-19,130.07
2015-05-20,130.06
2015-05-21,131.39
2015-05-22,132.54
2015-05-26,129.62
2015-05-27,132.045
2015-05-28,131.78
2015-05-29,130.28
2015-06-01,130.535
2015-06-02,129.96
2015-06-03,130.12
2015-06-04,129.36
2015-06-05,128.65
2015-06-08,127.8
2015-06-09,127.42
2015-06-10,128.88
2015-06-11,128.59
2015-06-12,127.17
2015-06-15,126.92
2015-06-16,127.6
2015-06-17,127.3
2015-06-18,127.88
2015-06-19,126.6
2015-06-22,127.61
2015-06-23,127.03
2015-06-24,128.11
2015-06-25,127.5
2015-06-26,126.75
2015-06-29,124.53
2015-06-30,125.425
2015-07-01,126.6
2015-07-02,126.44
2015-07-06,126.0
2015-07-07,125.69
2015-07-08,122.57
2015-07-09,120.07
2015-07-10,123.28
2015-07-13,125.66
2015-07-14,125.61
2015-07-15,126.82
2015-07-16,128.51
2015-07-17,129.62
2015-07-20,132.07
2015-07-21,130.75
2015-07-22,125.22
2015-07-23,125.16
2015-07-24,124.5
2015-07-27,122.77
2015-07-28,123.38
2015-07-29,122.99
2015-07-30,122.37
2015-07-31,121.3
2015-08-03,118.44
2015-08-04,114.64
2015-08-05,115.4
2015-08-06,115.13
2015-08-07,115.52
2015-08-10,119.72
2015-08-11,113.49
2015-08-12,115.24
2015-08-13,115.15
2015-08-14,115.96
2015-08-17,117.16
2015-08-18,116.5
2015-08-19,115.01
2015-08-20,112.65
2015-08-21,105.76
2015-08-24,103.12
2015-08-25,103.74
2015-08-26,109.69
2015-08-27,112.92
2015-08-28,113.29
2015-08-31,112.76
2015-09-01,107.72
2015-09-02,112.34
2015-09-03,110.37
2015-09-04,109.27
2015-09-08,112.31
2015-09-09,110.15
2015-09-10,112.57
2015-09-11,114.21
2015-09-14,115.31
2015-09-15,116.28
2015-09-16,116.41
2015-09-17,113.92
2015-09-18,113.45
2015-09-21,115.21
2015-09-22,113.4
2015-09-23,114.32
2015-09-24,115.0
2015-09-25,114.71
2015-09-28,112.44
2015-09-29,109.06
2015-09-30,109.95
2015-10-01,109.58
2015-10-02,110.38
2015-10-05,110.78
2015-10-06,111.31
2015-10-07,110.78
2015-10-08,109.5
2015-10-09,112.12
2015-10-12,111.6
2015-10-13,111.79
2015-10-14,110.21
2015-10-15,111.86
2015-10-16,111.04
2015-10-19,111.73
2015-10-20,113.77
2015-10-21,113.76
2015-10-22,115.5
2015-10-23,119.08
2015-10-26,115.28
2015-10-27,114.55
2015-10-28,119.27
2015-10-29,120.53
2015-10-30,119.5
2015-11-02,121.18
2015-11-03,122.57
2015-11-04,122.0
2015-11-05,120.92
2015-11-06,121.06
2015-11-09,120.57
2015-11-10,116.77
2015-11-11,116.11
2015-11-12,115.72
2015-11-13,112.34
2015-11-16,114.175
2015-11-17,113.69
2015-11-18,117.29
2015-11-19,118.78
2015-11-20,119.3
2015-11-23,117.75
2015-11-24,118.88
2015-11-25,118.03
2015-11-27,117.81
2015-11-30,118.3
2015-12-01,117.34
2015-12-02,116.28
2015-12-03,115.2
2015-12-04,119.03
2015-12-07,118.28
2015-12-08,118.23
2015-12-09,115.62
2015-12-10,116.17
2015-12-11,113.18
2015-12-14,112.48
2015-12-15,110.49
2015-12-16,111.34
2015-12-17,108.98
2015-12-18,106.03
2015-12-21,107.33
2015-12-22,107.23
2015-12-23,108.61
2015-12-24,108.03
2015-12-28,106.82
2015-12-29,108.74
2015-12-30,107.32
2015-12-31,105.26
2016-01-04,105.35
2016-01-05,102.71
2016-01-06,100.7
2016-01-07,96.45
2016-01-08,96.96
2016-01-11,98.53
2016-01-12,99.96
2016-01-13,97.39
2016-01-14,99.52
2016-01-15,97.13
2016-01-19,96.66
2016-01-20,96.79
2016-01-21,96.3
2016-01-22,101.42
2016-01-25,99.44
2016-01-26,99.99
2016-01-27,93.42
2016-01-28,94.09
2016-01-29,97.34
2016-02-01,96.43
2016-02-02,94.48
2016-02-03,96.35
2016-02-04,96.6
2016-02-05,94.02
2016-02-08,95.01
2016-02-09,94.99
2016-02-10,94.27
2016-02-11,93.7
2016-02-12,93.99
2016-02-16,96.64
2016-02-17,98.12
2016-02-18,96.26
2016-02-19,96.04
2016-02-22,96.88
2016-02-23,94.69
2016-02-24,96.1
2016-02-25,96.76
2016-02-26,96.91
2016-02-29,96.69
2016-03-01,100.53
2016-03-02,100.75
2016-03-03,101.5
2016-03-04,103.01
2016-03-07,101.87
2016-03-08,101.03
2016-03-09,101.12
2016-03-10,101.17
2016-03-11,102.26
2016-03-14,102.52
2016-03-15,104.58
2016-03-16,105.97
2016-03-17,105.8
2016-03-18,105.92
2016-03-21,105.91
2016-03-22,106.72
2016-03-23,106.13
2016-03-24,105.67
2016-03-28,105.19
2016-03-29,107.68
2016-03-30,109.56
2016-03-31,108.99
2016-04-01,109.99
2016-04-04,111.12
2016-04-05,109.81
2016-04-06,110.96
2016-04-07,108.54
2016-04-08,108.66
2016-04-11,109.02
2016-04-12,110.44
2016-04-13,112.04
2016-04-14,112.1
2016-04-15,109.85
2016-04-18,107.48
2016-04-19,106.91
2016-04-20,107.13
2016-04-21,105.97
2016-04-22,105.68
2016-04-25,105.08
2016-04-26,104.35
2016-04-27,97.82
2016-04-28,94.83
2016-04-29,93.74
2016-05-02,93.64
2016-05-03,95.18
2016-05-04,94.19
2016-05-05,93.24
2016-05-06,92.72
2016-05-09,92.79
2016-05-10,93.42
2016-05-11,92.51
2016-05-12,90.34
2016-05-13,90.52
2016-05-16,93.88
2016-05-17,93.49
2016-05-18,94.56
2016-05-19,94.2
2016-05-20,95.22
2016-05-23,96.43
2016-05-24,97.9
2016-05-25,99.62
2016-05-26,100.41
2016-05-27,100.35
2016-05-31,99.86
2016-06-01,98.46
